,accept,reward,m_type,income,accounts,overdraft,rating,cards,homes,family,Owner,balance
46,No,Air Miles,Letter,1,1,Yes,3,2,1,3,No,1529.0
47,No,Air Miles,Postcard,2,1,No,1,1,2,3,No,815.0
48,No,Points,Letter,2,2,Yes,3,1,1,5,Yes,675.0
49,Yes,Air Miles,Postcard,1,1,No,3,2,1,2,Yes,362.0
50,No,Cash Back,Letter,2,1,No,2,1,1,3,Yes,257.0
51,No,Points,Letter,2,1,No,2,1,1,4,No,1140.0
52,No,Points,Postcard,2,2,No,1,1,1,4,No,679.0
53,No,Air Miles,Postcard,2,1,No,3,2,2,3,Yes,250.0
54,No,Points,Postcard,3,1,No,2,3,2,5,Yes,251.0
55,No,Cash Back,Letter,2,1,No,2,2,1,4,Yes,424.0
56,Yes,Air Miles,Postcard,1,1,No,2,1,1,2,Yes,733.0
57,No,Cash Back,Postcard,2,1,No,3,2,2,2,Yes,1838.0
58,No,Air Miles,Postcard,2,1,No,3,2,1,3,Yes,1623.0
59,No,Cash Back,Postcard,2,2,No,3,1,1,4,No,1003.0
60,No,Cash Back,Letter,2,1,No,3,2,1,2,Yes,68.0
61,No,Cash Back,Letter,2,1,No,1,1,1,3,Yes,1556.0
62,No,Cash Back,Postcard,2,2,No,3,2,1,2,No,471.0
63,No,Cash Back,Letter,2,1,No,1,1,2,4,Yes,956.0
64,No,Cash Back,Postcard,1,1,No,1,2,1,2,No,565.0
65,No,Cash Back,Letter,3,1,No,3,1,1,3,Yes,1568.0
66,No,Air Miles,Letter,2,1,No,2,3,1,2,Yes,1803.0
67,No,Points,Postcard,2,2,No,1,2,1,4,No,494.0
68,No,Points,Postcard,2,2,No,3,2,1,5,Yes,2098.0
69,No,Air Miles,Postcard,2,1,No,3,3,1,2,Yes,1240.0
70,No,Air Miles,Letter,3,2,No,3,2,2,1,No,577.0
71,No,Cash Back,Postcard,2,1,No,3,1,1,1,No,608.0
72,No,Air Miles,Letter,1,1,No,3,1,1,3,Yes,297.0
73,Yes,Cash Back,Postcard,3,1,No,1,2,2,5,Yes,1515.0
74,No,Air Miles,Letter,2,1,No,2,3,2,4,No,350.0
75,Yes,Cash Back,Postcard,2,1,No,1,1,1,5,Yes,1655.0
76,No,Cash Back,Letter,3,1,No,1,1,1,3,Yes,841.0
77,No,Points,Postcard,1,1,No,2,2,1,2,No,760.0
78,No,Cash Back,Postcard,2,2,No,1,1,1,3,Yes,1614.0
79,No,Cash Back,Postcard,2,1,No,2,2,1,4,Yes,495.0
80,No,Cash Back,Letter,3,1,No,1,2,1,4,Yes,508.0
81,No,Points,Postcard,2,1,No,2,2,1,3,Yes,159.0
82,No,Cash Back,Postcard,3,2,No,3,1,1,5,Yes,1260.0
83,No,Air Miles,Postcard,2,2,No,2,2,1,3,Yes,652.0
84,No,Cash Back,Postcard,2,1,No,3,1,1,4,Yes,610.0
85,No,Air Miles,Letter,2,2,No,3,2,1,5,Yes,879.0
86,No,Points,Postcard,2,1,No,2,2,1,4,No,2073.0
87,No,Cash Back,Postcard,2,2,No,3,2,1,5,Yes,647.0
88,No,Air Miles,Postcard,2,2,No,1,2,2,3,Yes,174.0
89,No,Points,Postcard,1,1,Yes,1,1,1,2,Yes,2014.0
90,No,Air Miles,Letter,2,1,No,3,3,1,3,Yes,159.0
91,No,Cash Back,Letter,2,1,No,3,3,1,2,Yes,1263.0
92,No,Air Miles,Letter,1,1,No,2,1,1,3,No,211.0
93,No,Cash Back,Postcard,2,1,Yes,1,3,1,3,Yes,1788.0
94,No,Points,Postcard,1,2,No,2,2,2,4,Yes,714.0
95,No,Air Miles,Postcard,1,1,No,2,1,1,2,Yes,1216.0
96,Yes,Points,Letter,1,2,No,1,3,1,3,Yes,1294.0
97,No,Air Miles,Letter,2,1,No,2,1,1,4,No,1765.0
98,No,Points,Letter,1,2,Yes,2,1,1,3,Yes,885.0
99,No,Cash Back,Letter,1,1,No,3,2,1,3,Yes,2173.0
100,Yes,Points,Postcard,3,1,Yes,1,1,1,5,No,49.0
101,No,Cash Back,Letter,1,1,Yes,3,1,1,2,Yes,201.0
102,No,Cash Back,Letter,3,2,No,1,2,1,5,Yes,1188.0
103,No,Cash Back,Postcard,2,1,No,3,2,2,5,Yes,689.0
104,No,Points,Letter,1,1,No,3,1,1,5,Yes,697.0
105,No,Cash Back,Letter,1,1,No,1,2,2,3,Yes,334.0
106,No,Air Miles,Postcard,2,1,No,1,3,1,3,Yes,50.0
107,No,Points,Postcard,3,1,No,3,2,1,1,Yes,206.0
108,No,Cash Back,Letter,3,1,Yes,2,2,1,5,Yes,6.0
109,No,Cash Back,Postcard,1,1,No,1,1,1,2,Yes,273.0
110,No,Points,Postcard,2,1,Yes,2,3,2,1,No,853.0
111,Yes,Air Miles,Letter,3,1,Yes,3,2,1,5,Yes,39.0
112,No,Cash Back,Postcard,2,2,No,1,1,1,4,Yes,362.0
113,No,Points,Postcard,3,1,No,2,2,1,3,Yes,785.0
114,No,Points,Postcard,1,2,No,1,1,2,5,No,299.0
115,No,Air Miles,Postcard,2,1,No,1,2,1,5,Yes,685.0
116,No,Cash Back,Postcard,3,1,No,3,2,1,4,Yes,748.0
117,No,Points,Postcard,1,1,No,3,1,1,5,Yes,884.0
118,No,Cash Back,Postcard,3,1,No,2,2,1,4,Yes,1463.0
119,No,Cash Back,Letter,2,1,No,3,3,1,2,No,1223.0
120,No,Cash Back,Postcard,3,1,No,3,1,2,5,No,488.0
121,No,Cash Back,Letter,1,1,No,2,2,1,4,No,336.0
122,No,Air Miles,Letter,1,1,No,1,2,1,3,Yes,943.0
123,No,Air Miles,Postcard,2,1,No,2,2,1,3,Yes,928.0
124,No,Air Miles,Postcard,2,1,No,2,2,1,4,Yes,369.0
125,No,Points,Letter,2,1,No,3,1,2,4,No,1738.0
126,No,Cash Back,Letter,3,1,No,3,2,1,3,Yes,1507.0
127,No,Air Miles,Postcard,3,1,No,3,1,1,3,No,901.0
128,No,Cash Back,Letter,2,2,No,2,2,1,3,Yes,935.0
129,No,Cash Back,Postcard,2,1,No,2,3,1,5,No,630.0
130,Yes,Air Miles,Postcard,3,2,No,2,2,2,3,Yes,904.0
131,No,Cash Back,Letter,2,1,No,3,2,1,3,No,76.0
132,No,Cash Back,Postcard,2,1,No,1,1,1,3,Yes,1300.0
133,No,Cash Back,Letter,3,1,No,2,2,1,5,No,1982.0
134,No,Points,Postcard,3,1,No,3,2,1,3,Yes,268.0
135,No,Points,Letter,2,2,No,1,1,1,2,Yes,212.0
136,No,Cash Back,Letter,2,1,No,1,2,1,2,No,851.0
137,No,Air Miles,Letter,2,1,No,3,2,1,3,No,726.0
138,No,Air Miles,Postcard,1,2,No,2,2,2,4,Yes,1288.0
139,No,Points,Postcard,2,1,No,2,2,1,4,Yes,309.0
140,No,Cash Back,Letter,3,1,No,3,2,1,4,Yes,1223.0
141,No,Air Miles,Letter,3,1,Yes,1,2,1,3,Yes,1217.0
142,No,Points,Letter,2,2,Yes,2,2,1,3,Yes,653.0
143,No,Points,Postcard,2,2,Yes,3,1,1,3,Yes,579.0
144,No,Points,Letter,2,1,Yes,1,3,1,4,No,483.0
145,No,Air Miles,Postcard,1,1,No,2,1,2,3,No,1259.0
146,No,Points,Postcard,3,1,No,3,2,1,4,Yes,1213.0
147,No,Points,Postcard,2,1,Yes,1,3,1,4,Yes,1042.0
148,No,Points,Letter,2,1,No,2,3,1,2,No,1972.0
149,No,Cash Back,Letter,1,1,No,2,1,1,5,No,1826.0
150,No,Air Miles,Postcard,3,1,Yes,1,2,1,4,No,1858.0
151,No,Cash Back,Letter,3,1,No,2,2,1,4,Yes,558.0
152,No,Points,Letter,3,2,No,1,1,1,1,No,277.0
153,No,Air Miles,Letter,1,2,No,1,1,1,4,Yes,2170.0
154,No,Points,Postcard,3,1,No,1,2,1,2,No,931.0
155,No,Points,Postcard,3,2,Yes,1,1,1,3,Yes,4.0
156,No,Points,Postcard,3,1,No,1,2,1,2,No,73.0
157,Yes,Cash Back,Postcard,2,2,No,1,1,1,5,No,418.0
158,No,Cash Back,Letter,2,1,No,1,3,2,5,Yes,795.0
159,No,Cash Back,Letter,3,2,No,2,1,1,2,Yes,2008.0
160,No,Points,Letter,2,2,No,1,1,1,3,Yes,2045.0
161,No,Cash Back,Postcard,1,1,No,3,2,1,2,No,555.0
162,No,Points,Letter,3,1,Yes,3,1,1,3,Yes,463.0
163,No,Air Miles,Letter,3,1,No,1,1,1,4,Yes,703.0
164,No,Cash Back,Postcard,2,1,No,3,1,1,5,Yes,324.0
165,No,Points,Postcard,2,1,No,2,2,1,3,Yes,1613.0
166,No,Air Miles,Postcard,2,2,No,3,2,1,3,Yes,105.0
167,No,Points,Postcard,1,1,Yes,2,2,1,3,Yes,839.0
168,No,Air Miles,Postcard,2,1,No,1,2,1,5,No,469.0
169,No,Points,Postcard,2,1,No,3,2,1,2,Yes,1100.0
170,No,Air Miles,Letter,2,1,No,2,3,2,4,Yes,183.0
171,No,Cash Back,Letter,2,1,No,1,2,2,3,Yes,548.0
172,No,Points,Letter,2,1,No,2,3,1,3,Yes,515.0
173,No,Cash Back,Postcard,1,1,No,3,3,1,2,Yes,1785.0
174,No,Cash Back,Letter,1,1,No,3,2,1,5,Yes,722.0
175,No,Cash Back,Letter,3,1,No,3,1,1,4,Yes,958.0
176,No,Cash Back,Letter,2,1,No,1,2,1,2,No,1098.0
177,No,Points,Postcard,3,1,No,2,2,1,3,Yes,216.0
178,No,Points,Postcard,2,2,No,3,2,1,2,No,263.0
179,No,Points,Letter,1,2,No,3,1,2,3,Yes,104.0
180,No,Points,Letter,3,2,Yes,2,1,1,3,Yes,56.0
181,No,Air Miles,Letter,2,2,Yes,1,3,1,2,No,320.0
182,No,Points,Postcard,2,1,No,2,2,1,5,No,177.0
183,No,Air Miles,Letter,3,1,No,1,1,1,3,No,731.0
184,No,Points,Postcard,2,2,No,1,2,1,5,No,564.0
185,No,Points,Letter,2,1,Yes,3,2,2,3,Yes,2080.0
186,No,Air Miles,Postcard,2,2,No,3,1,1,5,Yes,750.0
187,No,Cash Back,Letter,1,1,No,1,3,1,4,Yes,1203.0
188,No,Air Miles,Postcard,3,1,No,1,2,2,3,Yes,1256.0
189,No,Cash Back,Postcard,2,1,No,1,2,1,3,No,793.0
190,No,Cash Back,Postcard,2,1,No,2,2,1,3,Yes,1426.0
191,No,Points,Letter,2,1,No,2,1,1,4,Yes,802.0
192,No,Points,Letter,2,1,No,1,1,1,3,No,226.0
193,No,Air Miles,Postcard,1,2,No,1,3,1,3,Yes,994.0
194,No,Air Miles,Letter,1,2,No,1,1,1,3,Yes,543.0
195,No,Cash Back,Letter,2,2,No,2,3,1,2,Yes,22.0
196,No,Cash Back,Postcard,3,1,No,2,2,2,3,Yes,1413.0
197,No,Air Miles,Letter,1,1,No,2,1,1,2,Yes,1539.0
198,No,Points,Postcard,3,1,No,1,1,1,4,Yes,1552.0
199,No,Cash Back,Letter,2,1,No,1,2,1,3,Yes,267.0
200,No,Points,Letter,2,1,No,3,2,1,3,No,247.0
201,No,Cash Back,Postcard,2,2,No,1,1,1,4,No,1809.0
202,No,Air Miles,Letter,2,1,No,3,3,2,2,Yes,270.0
203,No,Points,Postcard,3,1,No,1,1,2,4,No,413.0
204,No,Air Miles,Letter,2,2,Yes,3,1,1,3,Yes,242.0
205,No,Air Miles,Postcard,3,1,No,1,1,1,5,Yes,743.0
206,No,Cash Back,Letter,2,2,No,3,1,1,4,Yes,1003.0
207,No,Air Miles,Letter,1,2,No,3,2,1,4,Yes,855.0
208,No,Air Miles,Letter,2,1,No,3,2,1,3,Yes,873.0
209,No,Air Miles,Letter,1,1,No,3,2,1,3,No,1214.0
210,No,Cash Back,Letter,2,2,No,3,2,2,3,Yes,902.0
211,No,Cash Back,Letter,2,1,Yes,1,1,1,3,Yes,1140.0
212,No,Cash Back,Postcard,2,1,No,1,3,1,5,Yes,85.0
213,No,Air Miles,Postcard,1,1,No,2,3,1,4,Yes,1791.0
214,No,Cash Back,Letter,1,2,No,1,2,2,2,No,913.0
215,No,Points,Letter,2,1,No,3,2,1,3,No,1719.0
216,No,Air Miles,Postcard,3,1,No,2,2,1,4,No,35.0
217,No,Air Miles,Letter,2,1,No,2,2,1,5,No,495.0
218,No,Air Miles,Postcard,1,1,No,1,3,2,4,No,922.0
219,No,Points,Letter,1,1,No,2,2,1,4,No,231.0
220,No,Cash Back,Letter,2,2,No,3,3,1,5,Yes,454.0
221,No,Cash Back,Letter,1,1,No,1,3,1,5,No,1249.0
222,No,Cash Back,Postcard,2,1,No,1,3,2,5,Yes,70.0
223,Yes,Air Miles,Letter,1,1,No,1,1,1,3,No,1199.0
224,No,Air Miles,Letter,2,1,No,3,1,1,4,Yes,142.0
225,No,Cash Back,Letter,1,1,No,3,3,1,5,Yes,1910.0
226,No,Air Miles,Letter,2,1,No,3,3,1,4,Yes,1101.0
227,No,Cash Back,Postcard,1,1,No,1,2,1,4,No,892.0
228,No,Points,Postcard,2,1,No,3,3,1,4,No,408.0
229,No,Points,Letter,1,1,No,1,1,1,4,Yes,491.0
230,No,Points,Letter,1,1,No,2,2,1,3,No,2076.0
231,No,Cash Back,Postcard,3,2,No,1,2,1,1,Yes,683.0
232,No,Points,Postcard,1,1,Yes,1,3,1,3,No,2105.0
233,No,Cash Back,Letter,2,1,No,1,1,2,3,No,1052.0
234,No,Points,Postcard,1,1,Yes,3,2,1,3,Yes,1020.0
235,No,Air Miles,Postcard,2,1,No,3,1,2,3,Yes,1088.0
236,No,Cash Back,Postcard,3,2,No,1,3,1,3,No,159.0
237,No,Air Miles,Postcard,3,1,No,2,1,1,2,Yes,349.0
238,No,Air Miles,Postcard,2,1,No,1,3,1,5,No,501.0
239,No,Air Miles,Letter,2,1,No,3,3,1,4,Yes,964.0
240,No,Points,Letter,2,2,No,3,1,2,4,Yes,330.0
241,No,Air Miles,Letter,3,1,No,1,3,1,3,Yes,174.0
242,No,Points,Postcard,2,1,No,3,2,1,3,No,746.0
243,No,Points,Postcard,2,1,No,1,3,1,5,No,2162.0
244,No,Air Miles,Letter,1,1,No,3,1,1,4,Yes,1098.0
245,No,Air Miles,Letter,2,1,No,3,2,1,3,Yes,690.0
246,No,Air Miles,Postcard,1,1,No,3,2,1,2,No,193.0
247,No,Air Miles,Letter,2,1,No,1,3,2,4,No,1069.0
248,No,Points,Letter,2,1,No,2,2,2,3,Yes,918.0
249,Yes,Air Miles,Letter,3,1,No,2,1,1,5,Yes,1977.0
250,No,Air Miles,Postcard,1,1,No,2,3,1,4,Yes,1794.0
251,No,Air Miles,Letter,1,1,No,3,1,1,1,Yes,588.0
252,No,Points,Postcard,1,1,No,1,3,1,3,No,1390.0
253,No,Air Miles,Letter,2,1,No,2,2,1,2,Yes,1704.0
254,No,Cash Back,Letter,2,2,No,3,1,2,3,No,345.0
255,No,Air Miles,Letter,2,1,No,2,3,1,5,No,1306.0
256,No,Points,Postcard,1,1,No,1,1,1,1,Yes,1187.0
257,No,Points,Letter,2,1,No,2,3,1,3,Yes,839.0
258,No,Cash Back,Postcard,2,1,No,2,1,2,5,No,1361.0
259,No,Cash Back,Letter,2,2,No,2,1,1,5,Yes,449.0
260,No,Air Miles,Postcard,3,1,No,3,2,1,2,No,304.0
261,No,Cash Back,Postcard,2,1,No,1,1,2,3,No,887.0
262,Yes,Air Miles,Postcard,2,1,No,1,3,1,4,No,435.0
263,No,Points,Postcard,2,1,No,1,2,2,2,Yes,531.0
264,No,Cash Back,Letter,1,1,No,3,2,1,3,Yes,494.0
265,No,Points,Postcard,1,2,No,2,2,1,3,Yes,942.0
266,No,Points,Letter,2,1,No,2,2,1,3,Yes,1860.0
267,No,Points,Letter,2,1,No,2,2,2,3,Yes,748.0
268,No,Cash Back,Letter,2,1,No,2,1,1,4,Yes,432.0
269,No,Cash Back,Letter,1,1,Yes,1,3,1,1,Yes,677.0
270,No,Cash Back,Postcard,1,1,No,3,2,1,2,Yes,1751.0
271,No,Air Miles,Letter,1,2,No,1,1,1,3,No,115.0
272,No,Cash Back,Letter,2,2,No,2,1,1,4,No,576.0
273,No,Air Miles,Postcard,3,1,No,1,3,1,4,No,1317.0
274,No,Points,Postcard,1,1,No,3,1,1,3,No,1734.0
275,No,Points,Letter,2,1,No,2,3,2,3,Yes,768.0
276,Yes,Points,Postcard,3,2,No,1,1,1,1,Yes,230.0
277,No,Air Miles,Letter,2,1,No,2,2,2,4,No,1867.0
278,No,Points,Letter,3,1,No,1,2,1,3,No,248.0
279,No,Points,Letter,2,1,No,3,3,1,3,Yes,1705.0
280,Yes,Cash Back,Postcard,1,1,Yes,1,2,1,4,Yes,652.0
281,No,Air Miles,Letter,1,1,Yes,2,2,1,4,Yes,577.0
282,No,Cash Back,Letter,2,1,No,3,2,1,3,Yes,1566.0
283,No,Air Miles,Postcard,2,1,No,2,3,2,5,No,1807.0
284,Yes,Points,Postcard,1,2,No,1,3,1,3,Yes,677.0
285,No,Cash Back,Postcard,2,1,No,1,2,1,3,Yes,466.0
286,Yes,Cash Back,Letter,1,2,No,1,3,2,3,Yes,187.0
287,No,Air Miles,Letter,2,2,No,3,2,1,4,No,62.0
288,No,Points,Postcard,1,1,No,3,3,2,1,No,1959.0
289,No,Points,Postcard,2,1,No,3,1,1,4,Yes,793.0
290,No,Cash Back,Postcard,2,2,No,3,2,1,3,Yes,1647.0
291,No,Air Miles,Letter,2,1,Yes,3,1,1,4,Yes,130.0
292,No,Points,Postcard,2,1,No,3,2,1,3,No,897.0
293,No,Air Miles,Postcard,2,1,No,3,2,1,5,No,979.0
294,No,Air Miles,Letter,2,1,Yes,3,1,1,4,No,48.0
295,No,Cash Back,Postcard,3,1,No,2,3,1,4,Yes,629.0
296,No,Cash Back,Postcard,2,1,No,3,1,1,4,Yes,799.0
297,No,Points,Postcard,3,1,No,3,1,1,3,Yes,1343.0
298,No,Points,Postcard,2,1,Yes,2,3,1,2,No,119.0
299,Yes,Cash Back,Postcard,3,1,No,1,2,1,4,Yes,87.0
300,No,Air Miles,Letter,2,1,No,3,2,2,5,Yes,691.0
301,No,Cash Back,Postcard,1,1,Yes,1,2,1,4,No,485.0
302,No,Points,Letter,2,2,Yes,2,3,1,5,No,515.0
303,No,Points,Letter,2,1,No,1,1,1,5,Yes,1570.0
304,No,Points,Letter,3,2,No,3,2,1,3,No,318.0
305,No,Points,Letter,3,2,No,1,1,1,4,Yes,28.0
306,No,Cash Back,Letter,1,1,No,2,3,1,4,No,485.0
307,No,Air Miles,Letter,1,2,Yes,2,1,1,2,No,1642.0
308,No,Points,Postcard,2,1,No,2,2,1,3,No,287.0
309,No,Air Miles,Postcard,2,1,No,2,3,1,5,No,644.0
310,No,Air Miles,Postcard,1,1,No,2,1,1,3,Yes,1138.0
311,Yes,Air Miles,Postcard,2,1,Yes,2,3,1,2,Yes,899.0
312,No,Cash Back,Letter,2,1,No,3,2,2,2,Yes,291.0
313,No,Air Miles,Postcard,2,1,No,3,2,1,4,No,26.0
314,No,Points,Postcard,2,2,No,3,3,1,4,Yes,219.0
315,No,Air Miles,Postcard,3,2,No,1,1,1,4,Yes,1638.0
316,No,Points,Postcard,1,1,Yes,1,1,1,5,No,900.0
317,No,Air Miles,Postcard,2,1,Yes,3,2,1,5,Yes,674.0
318,No,Points,Letter,1,1,No,2,2,1,4,Yes,0.0
319,Yes,Air Miles,Postcard,2,1,No,1,1,1,4,Yes,93.0
320,No,Cash Back,Postcard,1,1,No,2,3,1,3,No,1852.0
321,No,Air Miles,Postcard,2,1,No,1,2,1,4,No,641.0
323,No,Points,Postcard,1,1,No,1,2,1,4,Yes,859.0
324,No,Points,Letter,2,1,No,1,1,1,5,No,244.0
325,No,Cash Back,Postcard,3,1,No,3,2,2,4,No,1561.0
326,No,Air Miles,Letter,2,1,Yes,3,3,1,3,Yes,614.0
327,No,Cash Back,Letter,2,1,No,1,2,1,2,No,144.0
328,No,Points,Postcard,2,1,No,1,2,1,5,Yes,856.0
329,No,Points,Letter,2,1,No,3,2,1,5,Yes,791.0
330,No,Points,Letter,3,1,No,2,2,1,3,Yes,735.0
331,No,Air Miles,Postcard,1,1,No,2,2,1,2,Yes,1676.0
332,No,Cash Back,Letter,2,1,No,1,2,1,3,Yes,324.0
333,No,Points,Postcard,1,2,No,1,2,1,4,Yes,22.0
334,No,Points,Postcard,2,2,No,1,1,2,2,No,1482.0
335,No,Air Miles,Postcard,2,1,No,3,2,1,3,Yes,2009.0
336,No,Cash Back,Postcard,3,2,No,1,1,1,4,Yes,944.0
337,No,Cash Back,Postcard,2,1,No,2,3,1,3,Yes,229.0
338,No,Cash Back,Letter,2,1,Yes,3,2,1,2,Yes,1108.0
339,No,Points,Postcard,3,2,No,2,2,1,4,Yes,172.0
340,No,Cash Back,Postcard,3,1,No,2,3,1,2,No,867.0
341,Yes,Points,Postcard,1,1,No,1,2,1,5,No,1700.0
342,No,Cash Back,Letter,2,2,No,3,1,2,4,Yes,1006.0
343,No,Points,Letter,1,1,No,3,3,1,2,Yes,1611.0
344,No,Cash Back,Letter,2,1,No,2,2,2,5,Yes,140.0
345,No,Air Miles,Letter,2,1,No,3,2,2,3,Yes,496.0
346,No,Points,Letter,2,2,Yes,3,2,1,4,Yes,574.0
347,No,Air Miles,Letter,2,1,No,1,1,1,5,Yes,739.0
348,Yes,Points,Postcard,2,2,No,1,1,1,4,Yes,458.0
349,No,Cash Back,Postcard,2,2,No,1,2,2,4,No,572.0
350,No,Points,Letter,2,1,No,3,1,2,4,Yes,950.0
351,No,Air Miles,Postcard,3,1,No,1,3,1,3,No,1493.0
352,No,Points,Letter,3,1,No,1,1,1,5,Yes,418.0
353,No,Points,Letter,2,2,No,2,3,1,4,Yes,456.0
354,No,Cash Back,Postcard,1,1,No,3,2,1,3,Yes,420.0
355,No,Points,Letter,2,1,No,2,3,1,5,Yes,1353.0
356,No,Points,Postcard,1,1,No,2,3,1,5,Yes,485.0
357,No,Points,Letter,3,2,Yes,3,2,1,3,Yes,668.0
358,No,Cash Back,Letter,1,1,No,1,2,1,3,Yes,463.0
359,No,Air Miles,Postcard,2,1,No,1,1,1,3,No,1417.0
360,No,Cash Back,Letter,3,1,No,1,2,2,3,Yes,955.0
361,No,Air Miles,Letter,2,1,No,2,2,2,2,No,75.0
362,No,Air Miles,Postcard,1,2,No,3,2,1,4,No,249.0
363,No,Cash Back,Letter,3,1,Yes,2,3,1,3,Yes,1508.0
364,No,Cash Back,Letter,2,1,No,2,2,1,3,Yes,15.0
365,No,Cash Back,Postcard,3,2,Yes,2,1,1,3,No,495.0
366,No,Points,Postcard,1,2,No,3,1,1,3,Yes,548.0
367,No,Air Miles,Postcard,1,2,No,3,3,1,4,No,1672.0
368,No,Cash Back,Postcard,3,1,No,3,1,1,5,Yes,1146.0
369,No,Air Miles,Letter,1,1,No,3,1,1,3,No,866.0
370,No,Cash Back,Letter,1,1,No,1,1,1,3,Yes,191.0
371,No,Cash Back,Postcard,2,1,No,3,2,2,4,Yes,393.0
372,No,Points,Postcard,2,2,No,1,1,1,2,Yes,1321.0
373,No,Air Miles,Postcard,2,2,No,1,2,1,4,Yes,454.0
374,No,Points,Letter,2,2,No,3,2,1,3,Yes,1715.0
375,No,Points,Letter,3,1,Yes,3,1,1,3,No,1214.0
376,No,Points,Letter,1,1,No,1,3,1,4,Yes,979.0
377,Yes,Points,Postcard,2,1,No,3,2,1,3,No,1734.0
378,No,Points,Postcard,2,1,Yes,1,2,1,2,No,704.0
379,No,Cash Back,Postcard,3,1,No,2,2,1,4,Yes,1782.0
380,No,Points,Postcard,3,2,Yes,3,1,1,3,Yes,1434.0
381,No,Points,Letter,3,1,No,1,2,1,2,Yes,1734.0
382,No,Air Miles,Postcard,2,1,No,2,1,1,3,Yes,434.0
383,No,Cash Back,Letter,2,1,No,3,1,1,5,Yes,836.0
384,No,Cash Back,Letter,3,2,No,3,2,2,4,Yes,915.0
385,No,Points,Postcard,3,1,No,2,2,1,3,Yes,678.0
386,No,Points,Letter,3,1,No,3,1,2,3,Yes,1469.0
387,No,Air Miles,Letter,2,2,No,1,2,1,4,Yes,980.0
388,No,Cash Back,Postcard,2,1,No,2,2,1,5,Yes,49.0
389,No,Air Miles,Postcard,2,2,No,3,1,2,4,Yes,1013.0
390,No,Cash Back,Letter,1,1,No,3,2,1,3,Yes,471.0
391,No,Air Miles,Postcard,2,1,No,1,2,1,4,Yes,446.0
