,accept,balance,income,accounts,rating,cards,homes,family,reward_Cash Back,reward_Points,m_type_Postcard,overdraft_Yes,owner_Yes
123,No,0.5585754451733833,0.5,0.0,1.0,0.5,0.0,0.75,0.0,1.0,0.0,1.0,1.0
124,No,0.19337706966572946,0.5,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,1.0
125,No,0.0724773508278663,0.5,0.0,0.5,1.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0
126,No,0.2717900656044986,1.0,0.0,0.5,0.5,1.0,0.5,0.0,0.0,1.0,0.0,1.0
127,No,0.6032489846922836,1.0,0.0,1.0,0.5,1.0,0.75,0.0,1.0,0.0,0.0,1.0
128,No,0.07903780068728523,0.5,0.0,1.0,1.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0
129,No,0.5695095282724149,1.0,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0
130,No,0.44892221180880976,0.5,0.0,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0
131,No,0.3355201499531396,0.5,1.0,0.5,0.5,1.0,0.5,1.0,0.0,0.0,0.0,1.0
132,No,0.5879412683536395,0.5,0.0,1.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.0
133,No,0.07154014370509217,0.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0
134,No,0.12527335207747578,0.5,0.0,0.5,0.0,0.0,0.75,1.0,0.0,0.0,0.0,1.0
135,No,0.14245548266166821,0.5,0.0,1.0,0.5,0.0,1.0,1.0,0.0,0.0,1.0,1.0
136,No,0.1668228678537957,0.5,1.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0,1.0
137,No,0.5773195876288659,1.0,0.0,0.5,0.5,0.0,0.25,0.0,1.0,0.0,0.0,1.0
138,No,0.17806935332708532,0.5,1.0,1.0,1.0,0.0,0.75,1.0,0.0,1.0,0.0,0.0
139,No,0.5588878475476414,0.5,0.0,0.5,0.0,0.0,0.25,1.0,0.0,0.0,1.0,1.0
140,No,0.32552327397688224,0.0,0.0,1.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0
141,No,0.1599500156201187,1.0,0.0,1.0,0.5,0.0,0.75,1.0,0.0,0.0,0.0,0.0
142,No,0.050296782255545146,0.5,1.0,1.0,0.5,0.0,0.75,0.0,1.0,0.0,0.0,1.0
143,No,0.1224617307091534,0.5,0.0,1.0,0.5,0.0,0.75,0.0,0.0,0.0,0.0,1.0
144,No,0.16713527022805375,1.0,0.0,0.5,0.5,1.0,0.75,0.0,1.0,0.0,0.0,1.0
145,No,0.5373320837238363,0.5,0.0,1.0,0.5,1.0,0.25,1.0,0.0,1.0,0.0,1.0
146,No,0.013433302093095909,1.0,0.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0
147,No,0.13839425179631365,0.0,0.0,1.0,0.5,0.0,0.75,1.0,0.0,1.0,0.0,1.0
148,No,0.3392689784442362,0.5,1.0,1.0,0.5,0.0,0.25,1.0,0.0,0.0,0.0,1.0
149,No,0.03280224929709466,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
150,No,0.06497969384567322,1.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
151,No,0.01936894720399875,0.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
152,No,0.472352389878163,1.0,0.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
153,No,0.021868166198063105,1.0,1.0,0.0,0.5,0.0,0.75,1.0,0.0,0.0,0.0,1.0
154,No,0.06435488909715714,0.0,0.0,0.5,0.5,1.0,0.25,0.0,1.0,0.0,1.0,1.0
155,No,0.316776007497657,1.0,1.0,1.0,0.0,1.0,0.75,0.0,1.0,0.0,0.0,1.0
156,No,0.06779131521399562,0.5,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
157,No,0.3139643861293346,1.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0
158,No,0.04311152764761012,0.5,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.0,0.0,1.0
159,No,0.415495157763199,0.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,1.0,0.0,1.0
160,No,0.5142143080287409,0.0,1.0,0.0,0.5,1.0,0.75,0.0,1.0,0.0,0.0,1.0
161,No,0.3039675101530772,0.0,0.0,1.0,0.0,0.0,0.25,1.0,0.0,1.0,0.0,1.0
162,No,0.3211496407372696,1.0,0.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
163,No,0.260543580131209,0.5,0.0,1.0,0.0,0.0,0.25,0.0,1.0,0.0,0.0,1.0
164,No,0.041861918150577944,1.0,1.0,1.0,0.0,0.0,0.75,1.0,0.0,1.0,0.0,1.0
165,No,0.005935645110902843,0.5,0.0,0.5,0.5,1.0,0.75,1.0,0.0,0.0,0.0,0.0
166,No,0.1633864417369572,0.5,1.0,1.0,0.5,0.0,0.25,1.0,0.0,0.0,0.0,0.0
167,No,0.15588878475476411,0.5,0.0,1.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0
168,No,0.3445798188066229,0.5,0.0,0.5,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
169,No,0.1605748203686348,0.0,0.0,1.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,1.0
170,No,0.16869728209934395,0.5,0.0,0.5,0.0,0.0,0.75,0.0,1.0,0.0,0.0,1.0
171,No,0.12652296157450799,0.5,0.0,0.5,0.0,0.0,0.25,0.0,1.0,0.0,0.0,0.0
172,No,0.2361761949390815,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
173,No,0.11152764761012184,1.0,0.0,0.0,0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.0
174,No,0.007497656982193066,0.5,0.0,1.0,0.5,0.0,0.75,0.0,1.0,0.0,0.0,0.0
175,No,0.10684161199625117,1.0,1.0,0.5,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
176,No,0.3823805060918463,0.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,1.0,1.0
177,No,0.15401437050921585,1.0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,1.0,0.0,1.0
178,No,0.02530459231490159,0.0,0.0,1.0,0.0,1.0,0.5,1.0,0.0,1.0,0.0,1.0
179,No,0.5651358950328023,0.5,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0
180,No,0.47516401124648544,1.0,0.0,0.5,0.5,0.0,0.75,1.0,0.0,1.0,0.0,1.0
181,No,0.2992814745392065,1.0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,1.0,0.0,1.0
182,No,0.20524835988753515,0.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0
183,No,0.09840674789128398,0.0,0.0,1.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0
184,No,0.10090596688534834,0.5,0.0,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0
185,No,0.27147766323024053,0.5,0.0,0.5,0.5,0.0,0.25,1.0,0.0,0.0,0.0,1.0
186,No,0.535770071852546,0.5,0.0,1.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0
187,No,0.31240237425804435,0.5,1.0,0.0,0.5,0.0,0.75,0.0,1.0,0.0,0.0,0.0
188,No,0.3567635114026867,0.0,1.0,0.0,0.0,1.0,0.75,1.0,0.0,0.0,0.0,1.0
189,No,0.2824117463292721,0.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,1.0
190,No,0.19368947203998746,1.0,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
191,No,0.09059668853483285,1.0,1.0,0.5,0.5,0.0,0.75,1.0,0.0,0.0,0.0,1.0
192,No,0.34957825679475163,0.5,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
193,No,0.14308028741018433,0.5,0.0,1.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,1.0
194,No,0.29990627928772257,1.0,1.0,1.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,1.0
195,No,0.28053733208372383,0.5,0.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,0.0,1.0
196,No,0.422680412371134,0.0,0.0,1.0,0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.0
197,No,0.06404248672289908,0.5,0.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0
198,No,0.3064667291471415,0.5,0.0,1.0,0.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0
199,No,0.21399562636676042,0.5,0.0,1.0,1.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0
200,No,0.12496094970321774,1.0,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,1.0
201,No,0.17088409871915028,1.0,0.0,1.0,0.5,0.0,0.25,1.0,0.0,1.0,0.0,0.0
202,No,0.23742580443611372,0.5,1.0,1.0,0.5,0.0,1.0,1.0,0.0,0.0,1.0,1.0
203,No,0.3973758200562324,1.0,1.0,0.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0
204,No,0.03967510153077163,0.5,0.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0
205,No,0.4842236800999688,1.0,0.0,1.0,0.5,0.0,0.75,1.0,0.0,1.0,0.0,0.0
206,No,0.0909090909090909,1.0,0.0,0.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
207,No,0.19431427678850358,0.0,1.0,0.5,0.0,0.0,0.5,1.0,0.0,0.0,0.0,1.0
208,No,0.08341143392689784,0.5,0.0,0.5,0.5,0.0,0.25,1.0,0.0,1.0,0.0,1.0
209,No,0.535457669478288,0.5,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,1.0,1.0
210,No,0.5763823805060919,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
211,No,0.16869728209934395,0.5,1.0,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0
212,No,0.5326460481099656,1.0,0.0,1.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,1.0
213,No,0.260543580131209,1.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0,1.0
214,No,0.1661980631052796,0.5,0.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0
215,No,0.18056857232114962,0.5,1.0,1.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,1.0
216,No,0.07872539831302718,0.5,0.0,1.0,0.0,0.0,0.25,1.0,0.0,1.0,1.0,1.0
217,No,0.2268041237113402,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
218,No,0.2870977819431428,0.0,0.0,1.0,0.0,0.0,0.25,0.0,1.0,1.0,0.0,0.0
219,No,0.06779131521399562,1.0,0.0,1.0,0.5,0.0,0.75,0.0,0.0,0.0,0.0,1.0
220,No,0.39581380818494216,0.5,0.0,0.5,0.5,0.0,0.75,1.0,0.0,0.0,0.0,1.0
221,No,0.4917213370821618,0.5,0.0,1.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.0
222,No,0.2739768822243049,1.0,0.0,1.0,0.5,0.0,0.25,1.0,0.0,1.0,1.0,1.0
223,No,0.17806935332708532,0.5,1.0,1.0,0.5,1.0,0.5,1.0,0.0,1.0,0.0,1.0
224,No,0.0012496094970321774,0.0,0.0,1.0,0.5,0.0,0.75,0.0,1.0,1.0,0.0,0.0
225,No,0.3055295220243674,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0
226,No,0.15307716338644173,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
227,No,0.05310840362386754,1.0,0.0,1.0,0.5,0.0,0.75,1.0,0.0,0.0,0.0,1.0
228,No,0.11215245235863792,0.5,0.0,1.0,0.5,1.0,0.25,1.0,0.0,1.0,0.0,1.0
229,No,0.09215870040612308,0.5,1.0,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0
230,No,0.03811308965948142,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
231,No,0.42361761949390814,0.5,0.0,0.5,0.5,0.0,0.75,1.0,0.0,0.0,0.0,1.0
232,No,0.211184004998438,0.0,1.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
233,No,0.10121836925960637,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
234,No,0.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0
235,No,0.31240237425804435,0.0,0.0,1.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,1.0
236,No,0.008122461730709152,0.5,0.0,1.0,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0
237,No,0.15745079662605435,1.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
238,No,0.07903780068728523,1.0,0.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,0.0,0.0
239,No,0.6532333645735707,0.5,0.0,0.5,0.0,0.0,0.25,0.0,1.0,0.0,0.0,1.0
240,No,0.24960949703217744,0.5,0.0,1.0,0.0,0.0,0.75,1.0,0.0,1.0,0.0,1.0
241,No,0.2870977819431428,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
242,No,0.15182755388940955,0.5,1.0,1.0,0.5,0.0,0.75,0.0,1.0,0.0,0.0,1.0
